iter	Logloss
0	0.6821755077
1	0.6714786148
2	0.6613975037
3	0.65233233
4	0.6422159585
5	0.6337598752
6	0.6252773937
7	0.6174327611
8	0.6100306254
9	0.6028435912
10	0.5960384183
11	0.5890344367
12	0.583505143
13	0.577286731
14	0.5715788787
15	0.5665000329
16	0.5613812179
17	0.556448246
18	0.5516542703
19	0.5477469885
20	0.5436975358
21	0.5396233643
22	0.5348865246
2323	0.50412749
24	0.5003533748225	0.4963900161226	0.4929079349227	0.4900347919228	0.4874088181229	0.4842384518330	0.4810625088
31	0.4777215435
32	0.4741692821
33	0.4710327032
34	0.4669304466
35	0.4639691927
36	0.4609429387
37	0.4584373296
38	0.4554867126
39	0.4527063987
40	0.4502891272
41	0.4477317979
42	0.4443623794
43	0.4426297645
44	0.4404188375
45	0.437487174
46	0.4356060043
47	0.4333571214
48	0.4319223566
49	0.4301494896
50	0.42815046
51	0.4264499909
52	0.4244401618
53	0.422835177
54	0.4210816229
55	0.4196907273
56	0.4181109838
57	0.417084684
58	0.4160917081
59	0.4142467431
60	0.4120212559
61	0.4104484018
62	0.408105109
63	0.4068212996
64	0.4053702827
65	0.4040456407
66	0.402602417
67	0.4016511367
68	0.4003893572
69	0.398706337
70	0.3971203142
71	0.3957033502
72	0.3942489032
73	0.3914249516
74	0.3903086035
75	0.3879559186
76	0.3864371482
77	0.3851115229
78	0.3837452167
79	0.3827569333
80	0.3808353152
81	0.379679168
82	0.3787018151
83	0.3773539264
84	0.3768134182
85	0.3761024005
86	0.3755522659
87	0.3750578721
88	0.3740439336
89	0.3732662106
90	0.371747372
91	0.370801216
92	0.3699874353
93	0.3691425049
94	0.3687086607
95	0.3677820826
96	0.3664448471
97	0.3655130109
98	0.3642354169
99	0.3636724018
100	0.3627881227
101	0.3618431638
102	0.3612389503
103	0.3607050052
104	0.3600235042
105	0.3595495925
106	0.3589155401
107	0.3572967489
108	0.3558491708
109	0.3551586195
110	0.3543080193
111	0.3536349774
112	0.3527794021
113	0.3520637628
114	0.351630566
115	0.350613352
116	0.3496637893
117	0.3484661251
118	0.347967721
119	0.3473106218
120	0.346802333
121	0.3460096222
122	0.3453301826
123	0.3447900367
124	0.3444106897
125	0.3440271097
126	0.3434143801
127	0.3426911122
128	0.3418850217
129	0.3413696259
130	0.3404578516
131	0.3393638553
132	0.3389745146
133	0.3385091643
134	0.3379531901
135	0.3375350326
136	0.3366513705
137	0.3361277473
138	0.3354785863
139	0.3348934041
140	0.3338228522
141	0.3335891696
142	0.3328495707
143	0.3324677217
144	0.3320595195
145	0.3315736943
146	0.3307295134
147	0.3299860366
148	0.3289895686
149	0.3285999958
150	0.3280913918
151	0.3275260751
152	0.3270093284
153	0.3260631989
154	0.3258023212
155	0.3250404674
156	0.3247947617
157	0.3243998608
158	0.3240971737
159	0.3235130092
160	0.3230530338
161	0.3225424101
162	0.3219658223
163	0.3211801715
164	0.3208750196
165	0.3204532085
166	0.3199016569
167	0.3195949197
168	0.3192450764
169	0.3189103293
170	0.3183177817
171	0.3179433545
172	0.3176023005
173	0.31732382
174	0.3170285893
175	0.3163713688
176	0.3161695598
177	0.3159977515
178	0.315790757
179	0.3154553359
180	0.3150665697
181	0.3147336287
182	0.314443143
183	0.3141280387
184	0.3137710378
185	0.3136209277
186	0.3133395807
187	0.3131562768
188	0.3129503711
189	0.3127319008
190	0.3124921458
191	0.3121895267
192	0.3118064709
193	0.3115201795
194	0.3111866619
195	0.3110715623
196	0.3109361911
197	0.3107822523
198	0.3106599174
199	0.3104845491
200	0.3100725233
201	0.3098552496
202	0.3093818466
203	0.3090858475
204	0.3089160691
205	0.3085279038
206	0.3081637727
207	0.3078899416
208	0.3077775656
209	0.3075715263
210	0.3073950138
211	0.3071550116
212	0.3068729425
213	0.3065723173
214	0.3063789063
215	0.3061391811
216	0.3058859043
217	0.3057517796
218	0.3055031242
219	0.3052606187
220	0.3050050019
221	0.3047983801
222	0.304424382
223	0.3040999058
224	0.3039657816
225	0.3038083369
226	0.3035198208
227	0.3029277808
228	0.3024483053
229	0.3022518974
230	0.3019964566
231	0.3017588687
232	0.3016053438
233	0.3012926428
234	0.3009648174
235	0.3006019326
236	0.3004030167
237	0.3001954742
238	0.299841092
239	0.299718223
240	0.2993604923
241	0.2991843275
242	0.2990311839
243	0.298672631
244	0.2985221468
245	0.2982002716
246	0.2980813934
247	0.2978311127
248	0.2975848858
249	0.2974619691
250	0.2971101875
251	0.2970366282
252	0.2968589826
253	0.2967262751
254	0.2964507101
255	0.2962414495
256	0.2959014576
257	0.2956447742
258	0.2954191063
259	0.2953055471
260	0.2950988151
261	0.294941446
262	0.2946803042
263	0.294518692
264	0.2943746852
265	0.2942267905
266	0.2940137258
267	0.2938023846
268	0.2935224437
269	0.2931697893
270	0.2930053373
271	0.2927345128
272	0.292561892
273	0.2923431077
274	0.2921980622
275	0.2921204293
276	0.2920160731
277	0.2917229356
278	0.2914603102
279	0.2913074469
280	0.291063342
281	0.2907071835
282	0.2905706203
283	0.2901387688
284	0.2896464437
285	0.2894650558
286	0.2892599205
287	0.2890787868
288	0.2888477128
289	0.2887396722
290	0.2886288489
291	0.2883916501
292	0.2882132299
293	0.2878197603
294	0.2876562252
295	0.2874899386
296	0.2873758325
297	0.28726825
298	0.2870874745
299	0.2867041561
300	0.2864538625
301	0.2861914327
302	0.286059298
303	0.2858674303
304	0.285735078
305	0.2854934006
306	0.2852827777
307	0.2850166697
308	0.2848337554
309	0.2846957838
310	0.28450772
311	0.2843685035
312	0.2840638488
313	0.283945247
314	0.2837663104
315	0.2835929542
316	0.2833806127
317	0.2832362692
318	0.283065792
319	0.2829387139
320	0.2825553406
321	0.2823803836
322	0.2822259152
323	0.2820564672
324	0.2819190411
325	0.2818006632
326	0.2816205599
327	0.2814068791
328	0.2812580894
329	0.2811680139
330	0.2809894737
331	0.2808075811
332	0.2805982642
333	0.280443332
334	0.2802999239
335	0.2801656275
336	0.2800457873
337	0.2798889861
338	0.2797615079
339	0.2795310727
340	0.2793388636
341	0.2791705755
342	0.2791547588
343	0.2789543268
344	0.2788228023
345	0.2787238257
346	0.2784603344
347	0.2781553399
348	0.2780689136
349	0.2779739716
350	0.2777550389
351	0.2776584128
352	0.2774928239
353	0.2772836747
354	0.2770359243
355	0.2768812952
356	0.2766537229
357	0.2763382384
358	0.2761269195
359	0.2759436161
360	0.2757342074
361	0.2755439048
362	0.275360946
363	0.2752316183
364	0.275058531
365	0.2748804605
366	0.2746663579
367	0.2743548234
368	0.274165175
369	0.2740025719
370	0.2738884724
371	0.2737224988
372	0.2734883909
373	0.2733504332
374	0.2731785918
375	0.2730514868
376	0.2728619779
377	0.2727335056
378	0.2723718636
379	0.2721966811
380	0.2719389215
381	0.2718067366
382	0.2715737706
383	0.271351806
384	0.2711594584
385	0.271015313
386	0.2708897391
387	0.2707728962
388	0.2705582973
389	0.2703484734
390	0.2702627468
391	0.270108934
392	0.2698833819
393	0.2696788102
394	0.2695036436
395	0.2693763126
396	0.2691548613
397	0.2688711872
398	0.2687803137
399	0.2685530066
400	0.2683529085
401	0.2682837806
402	0.2679180296
403	0.2676721102
404	0.2675480947
405	0.2673465651
406	0.267130999
407	0.2668633754
408	0.2666888932
409	0.2664823861
410	0.2663373627
411	0.2661925184
412	0.2660588012
413	0.2658323475
414	0.2656609752
415	0.2655506746
416	0.2653660849
417	0.2651214776
418	0.2648495373
419	0.2647362255
420	0.2645444135
421	0.2643812065
422	0.2641021661
423	0.2638577324
424	0.2636791313
425	0.263587586
426	0.2634631386
427	0.2632381658
428	0.2631572786
429	0.2629672491
430	0.2628260407
431	0.2626704984
432	0.2625480685
433	0.2623793979
434	0.2622610001
435	0.2620467061
436	0.261807929
437	0.2617157696
438	0.2615780548
439	0.2615087615
440	0.2613937154
441	0.2611831546
442	0.2609874168
443	0.2608380779
444	0.2606327656
445	0.2603261052
446	0.2601007051
447	0.259883006
448	0.259712599
449	0.2596040569
450	0.2595377902
451	0.2592245947
452	0.2590572706
453	0.2589375654
454	0.2586924798
455	0.2585180668
456	0.2583173391
457	0.2581936613
458	0.2580438085
459	0.2578248977
460	0.2576501012
461	0.2575502947
462	0.2572997158
463	0.2572201081
464	0.2570688099
465	0.2569808785
466	0.2568272948
467	0.25655919
468	0.2564807478
469	0.2563815853
470	0.2561466722
471	0.2560391601
472	0.2559067719
473	0.2557956387
474	0.2555413212
475	0.2554314587
476	0.2552407305
477	0.2551456621
478	0.2550552255
479	0.2549661768
480	0.2547467291
481	0.2545658136
482	0.2544158042
483	0.2542711291
484	0.2541164526
485	0.2540239773
486	0.2538917128
487	0.2537321476
488	0.2536071689
489	0.2535010317
490	0.2532664049
491	0.2530777617
492	0.2528843994
493	0.2527123418
494	0.252550686
495	0.2523787482
496	0.2522145961
497	0.2520628227
498	0.2518473951
499	0.2517510782
500	0.2516404821
501	0.2515256577
502	0.251425324
503	0.2513065621
504	0.2511703777
505	0.2510309553
506	0.2508706246
507	0.2507571484
508	0.2506768459
509	0.2505725601
510	0.2504365559
511	0.2502554433
512	0.2501730928
513	0.250012804
514	0.2499474958
515	0.2498637643
516	0.2497048563
517	0.2494051875
518	0.2492603948
519	0.2491470808
520	0.2489150696
521	0.2488068244
522	0.2487449654
523	0.2486268696
524	0.2484050726
525	0.2482989282
526	0.2481932431
527	0.2480889441
528	0.2480192667
529	0.247940615
530	0.2478537233
531	0.2477596148
532	0.2474983814
533	0.2473598102
534	0.2471596489
535	0.2470364823
536	0.2468683599
537	0.2467792148
538	0.2466778013
539	0.2464881991
540	0.2462690747
541	0.2461826644
542	0.2460569408
543	0.245994992
544	0.2459123591
545	0.2457269207
546	0.2455806401
547	0.2454164773
548	0.2452633142
549	0.2450917344
550	0.2449379504
551	0.2448557893
552	0.2448029238
553	0.2447108956
554	0.2445789233
555	0.2444043894
556	0.2441841649
557	0.2440797541
558	0.2439088161
559	0.2437617674
560	0.2436305423
561	0.2434468564
562	0.2433668015
563	0.2431663465
564	0.2431198718
565	0.2428918873
566	0.24266974
567	0.2425717916
568	0.2424832462
569	0.2423580301
570	0.2422704328
571	0.2420368353
572	0.2418224861
573	0.2417395593
574	0.2416501509
575	0.2415113913
576	0.2413328781
577	0.2412333997
578	0.241131953
579	0.2410363976
580	0.2409283898
581	0.2407533506
582	0.2406666346
583	0.2405763392
584	0.2404578749
585	0.2403825166
586	0.2402969957
587	0.2401166891
588	0.2399303876
589	0.2398402326
590	0.2396709496
591	0.2394895152
592	0.2392962298
593	0.2392074317
594	0.2391264089
595	0.2390826024
596	0.2388810874
597	0.2387939432
598	0.2385969549
599	0.2385103472
600	0.2383463358
601	0.2382713551
602	0.2380659352
603	0.2379651668
604	0.2378889857
605	0.237804293
606	0.2376570587
607	0.2375732492
608	0.2374465443
609	0.2373337398
610	0.2372656219
611	0.237105646
612	0.2370202962
613	0.2369488748
614	0.2367925532
615	0.2365975662
616	0.2364195395
617	0.2362356448
618	0.2360434847
619	0.235911297
620	0.2357266661
621	0.2356066371
622	0.2355460119
623	0.2353589214
624	0.235284743
625	0.2352025181
626	0.2350292393
627	0.2348734207
628	0.2347181681
629	0.2345974435
630	0.2345292639
631	0.2344587616
632	0.2342341138
633	0.2341086106
634	0.2339486812
635	0.2338669498
636	0.2337896594
637	0.2336438187
638	0.2334928584
639	0.2333438669
640	0.2331799763
641	0.2330861843
642	0.23297713
643	0.2328924336
644	0.2328241455
645	0.2327097614
646	0.2325934659
647	0.2325231676
648	0.2323143381
649	0.2321558468
650	0.2320147964
651	0.2319357816
652	0.2318004916
653	0.2317339889
654	0.2316494154
655	0.2315074806
656	0.2313576443
657	0.2313049402
658	0.2311626847
659	0.2310524148
660	0.2309813331
661	0.2309168996
662	0.2308388453
663	0.2307738043
664	0.2306486171
665	0.2304653236
666	0.2303272471
667	0.2301635468
668	0.2300962466
669	0.2299795903
670	0.229821972
671	0.2296802063
672	0.2295752811
673	0.2294234343
674	0.2293544218
675	0.2291998369
676	0.2291494626
677	0.2290854457
678	0.2289994847
679	0.2288696058
680	0.2288107584
681	0.2286345348
682	0.2285277298
683	0.2284111809
684	0.2282591705
685	0.2281466674
686	0.2280239545
687	0.2279678182
688	0.2279007756
689	0.227803168
690	0.2277290659
691	0.2276781553
692	0.22754937
693	0.2274333162
694	0.2273637442
695	0.2272448656
696	0.2271057523
697	0.2270038693
698	0.226879554
699	0.2267421673
700	0.2266212405
701	0.2264696343
702	0.226328763
703	0.2262376485
704	0.2260935884
705	0.2260293727
706	0.2259669174
707	0.2257858781
708	0.2256599539
709	0.2255232493
710	0.2254787292
711	0.2254230916
712	0.2252844753
713	0.2252063285
714	0.2250332456
715	0.2249438744
716	0.2248690567
717	0.224727775
718719	0.21420367719720	0.21418301720	0.2244106967
721722	0.21391632722	0.2242524139
723	0.2241647508
724	0.2240392841
725	0.2239752122
726	0.2239114306
727	0.2237407137
728	0.2236909451
729	0.2235908464
730	0.2235241025
731	0.2234676367
732	0.22336889673733	0.223209348735	0.2128261833
736	0.212703177
737736	0.22278627738737	0.22269417739738	0.22259773740739	0.22250874741740	0.22240520742741	0.2222774118
742	0.22218037744743	0.2220504774744	0.22188049774745	0.2218202047746	0.22175790467747	0.22166594337748	0.22155589047749	0.22146594817750	0.2214409056
751	0.2213033795
752	0.221155634
753	0.2210241653
754	0.2209139854
755	0.2207905696
756	0.2207360029
757	0.2207116262
758	0.22059979
759	0.2205393966
760	0.2203959851
761	0.2203064327
762	0.220257203
763	0.2201592973
764	0.2200125767
765	0.2199478439
766	0.2198765272
767	0.2197540258
768	0.219659362
769	0.2194898351
770	0.2192996988
771	0.2192719339
772	0.2191861498
773	0.2190816619
774	0.2189557204
775	0.2188216789
776	0.2187448935
777	0.2185805149
778	0.2184497018
779	0.2184233887
780	0.2182753449
781	0.2181045335
782	0.2179825653
783	0.2178642754
784	0.2177527746
785	0.217674495
786	0.2176370498
787	0.2175980338
788	0.217525775
789	0.217465154
790	0.2173412829
791	0.2172226059
792	0.2171400119
793	0.2170858715
794	0.2169694413
795	0.2168769975
796	0.216720212
797	0.216589087
798	0.2164118846
799	0.2162806341
800	0.2162004853
801	0.2160354716
802	0.2159559466
803	0.2158439918
804	0.21574321
805	0.2157191894
806	0.21562303
807	0.2155053968
808	0.215335664
809	0.2152275406
810	0.215055172
811	0.2149314062
812	0.2148475841
813	0.2147761633
814	0.2147022233
815	0.2145553974
816	0.2144997089
817	0.2143834678
818	0.2142614716
819	0.2141754961
820	0.2141459716
821	0.2140746674
822	0.2139260522
823	0.2138801523
824	0.213824416
825	0.2137022116
826	0.2135713725
827	0.2135214047
828	0.2134591901
829	0.2134043689
830	0.2133196945
831	0.2132335858
832	0.2131670667
833	0.2130756816
834	0.2130528563
835	0.2129463847
836	0.2128161126
837	0.2126991802
838	0.2126747309
839	0.2126568067
840	0.2125219138
841	0.212376644
842	0.2122952556
843	0.2122258393
844	0.2121272585
845	0.2120656864
846	0.2119702444
847	0.2118162386
848	0.2117944298
849	0.2116586588
850	0.2115363129
851	0.2114201976
852	0.2113439825
853	0.2111970434
854	0.2110986257
855	0.2110160077
856	0.2108750354
857	0.210728322
858	0.2106575963
859	0.2105073307
860	0.2103997442
861	0.2103481418
862	0.210253387
863	0.2101954514
864	0.2100711013
865	0.2099786849
866	0.209884396
867	0.2098209254
868	0.2097427596
869	0.2096603034
870	0.2095113377
871	0.2094355489
872	0.2093852021
873	0.2093331996
874	0.209227647
875	0.2090876888
876	0.2089770884
877	0.2088287544
878	0.2087029601
879	0.2086042382
880	0.2085313117
881	0.2084284552
882	0.2083811844
883	0.208234568
884	0.2081058685
885	0.2080474161
886	0.2080261932
887	0.2079208661
888	0.2078990916
889	0.2078083402
890	0.2077099422
891	0.2076612851
892	0.207555619
893	0.2074296818
894	0.207377813
895	0.207253292
896	0.2071557312
897	0.2071107456
898	0.2069827279
899	0.2068428327
900	0.2068218446
901	0.2066991859
902	0.2066456418
903	0.2065373217
904	0.2064518838
905	0.2063158179
906	0.2062131518
907	0.2061049734
908	0.2060376826
909	0.2060078804
910	0.205878362
911	0.2058146757
912	0.2057075243
913	0.2056174486
914	0.2054791028
915	0.205371126
916	0.205282193
917	0.2051801956
918	0.2050775947
919	0.2049897005
920	0.2048738458
921	0.2047566858
922	0.204659293
923	0.2046355709
924	0.2045900644
925	0.2045280504
926	0.2044853875
927	0.2043842898
928	0.2042778875
929	0.2042226996
930	0.2041575546
931	0.2040405768
932	0.2039102313
933	0.203815105
934	0.2037252737
935	0.2036181722
936	0.2035149876
937	0.2033727883
938	0.2032741351
939	0.2031596747
940	0.2030492937
941	0.2029405763
942	0.2028659065
943	0.2027945371
944	0.2026827355
945	0.2025858458
946	0.2025160422
947	0.2024882515
948	0.2024007737
949	0.2023195414
950	0.2022386386
951	0.2021255092
952	0.20197265
953	0.2018854933
954	0.2018148463
955	0.2017281769
956	0.20166591
957	0.2015706448
958	0.2014159043
959	0.2013265579
960	0.2012583409
961	0.2012106715
962	0.2011192898
963	0.2010162788
964	0.2965	0.190965	0.20966	0.190966	0.20967	0.190967	0.20968	0.190968	0.2006045335
969	0.20970	0.189970	0.971	0.18983971	0972	0.189800972	0973	0.189741973974	0.18967254974975	0.18957386975976	0.18951519976977	0.1894278977	978	0.1893513978979	0.18934177979	0.1996551159
980	0.1996035718
981	0.1995559459
982	0.1994428521
983	0.1993419828
984	0.1993035253
985	0.1992590796
986	0.1991839971
987	0.1990938244
988	0.1990414705
989	0.1989761585
990	0.1988896343
991	0.1987557635
992	0.198646635
993	0.1985416442
994	0.1984067479
995	0.19832831
996	0.1982104427
997	0.1980809525
998	0.1979641515
999	0.1979259654
99	0.2532783307
